Abdelhameed M. Abdelmageed,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/73/output-onlinejpgtools%20(62).jpg
"Ahmed, Mohiuddin",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/66/output-onlinejpgtools%20(63).jpg
"Anis, Mohammed",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/50/output-onlinejpgtools%20(64).jpg
"Baig, Mirza Murtuza Ali",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/67/output-onlinejpgtools%20(65).jpg
Faheemuddin Patel,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/68/output-onlinejpgtools%20(66).jpg
"Furquan, Sarfaraz A.",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/69/output-onlinejpgtools%20(67).jpg
Mohammed Abdul Azeem,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/70/output-onlinejpgtools%20(68).jpg
"Muhammad, Inam",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/27/output-onlinejpgtools%20(69).jpg
"Raza, Kamran",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/71/output-onlinejpgtools%20(70).jpg
"Yaqub, Mohammed",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/28/output-onlinejpgtools%20(2).jpg
"Younas, Muhammad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/72/output-onlinejpgtools%20(58).jpg
